# Position de départ
0	0
1	0
2	0
.
# M3  : commence à 100
0	0	20	0
0	20	-20 0
0	-20	30	0
0	30	-45	0
0	-45	45	0
0	-30	0	0
0	10	-20	0
0	0	20	0
3	0	20	0
3	20	0	0
3	50	40	0
3	40	100	0
3	100	35	0
3	35	100	0
2	-25	45	0
.
2	45	-25	0
.
2	-25	45	1
.
2	45	-25	1
.
2	-25	45	2
.
2	45	-20	2
# M3 : descend à 30 lentement
3	70	30	0
# M3 : 3 petits mouvements de bas en haut 30 - 60  - se bloque à 60
3	60	5	1
3	5	80	1
3	80	60	1
3	60	30	1
3	30	60	1
3	60	30	1
# M2 : 2 petits mouvements vers la droite donc de 90 à 110 - revient à 90 (centre)
2	0	20	1
2	20	0	1
2	0	20	1
2	20	0	1
# M3 : descend à 30 lentement
3	40	30	1
# M2 : 2 petits mouvements vers la droite donc de 90 à 110 - revient à 90 (centre)
2	0	20	1
2	20	0	1
2	0	20	1
2	20	0	1
# M3  : remonte brusquement à 100
3	30	70	2
# M2 : 2 petits mouvements lent de 80 à 110 - revient à 90 (centre)
2	-10	20	0
2	20	-10	0
2	-10	20	0
2	20	0	0
# M3 : descend à 45 lentement
3	70	35	0
# M1 : 2 petits mouvements 40 - 50 retour au centre 45
1	-5	5	1
1	5	-5	1
1	-5	0	1
# M3 : descend à 35 lentement
3	35	25	0
# M1 : 2 petits mouvements 40 - 50 retour au centre 45
1	-5	5	1
1	5	-5	1
1	-5	5	1
1	5	-5	1
1	-5	0	1
# M3 : descend à 20 lentement (se pose sur la feuille
3	25	10	0
# M1 : 1 petits mouvements 45 - 50 retour au centre 45
1	5	-5	1
1	-5	0	1
# pause
.
# M1 : 1 petits mouvements 45 - 50 retour au centre 45
1	5	-5	1
1	-5	0	1
# pause
.
# M1 : 1 petits mouvements 45 - 50 retour au centre 45
# pause
.
# M3 : remonte à 30 brusquement
3	20	50	2
# M3 : descend à 20 lentement (se pose sur la feuille
3	50	20	0
# M3 : remonte à 40 brusquement
3	20	50	2
# M3 : descend à 30 lentement 
3	50	20	0
# M3 : remonte à 60 brusquement
3	20	50	2
# M2 : 2 petits mouvements vers la droite donc de 90 à 110 - revient à 90 (centre)
2	0	20	1
2	20	0	1
2	0	20	1
2	20	0	1
# M3 : descend à 40 lentement 
3	50	30	0
# M2 : 2 petits mouvements vers la droite donc de 90 à 110 - revient à 90 (centre)
2	0	20	1
2	20	0	1
2	0	20	1
2	20	0	1
# M3 : descend à 30 lentement 
3	50	20	0
# M2 : 2 petits mouvements vers la droite donc de 90 à 110 - revient à 90 (centre)
2	0	20	1
2	20	0	1
2	0	20	1
2	20	0	1
# M3 : remonte à 40 brusquement
3	20	30	2
# M1: 2 Grand balayement de gauche à droite 35- 55 retour au centre
